trial,throughput_tps,mean_finality_latency_s,fork_rate,safety_violations,liveness_failures,message_count
0,1.88,72.0,0.06,0,0,1800
1,1.879998,72.0002,0.060001,0,0,1805
2,1.879996,72.0004,0.060002,0,0,1806
3,1.879994,72.0006,0.060003,0,0,1809
4,1.879992,72.0008,0.060003999999999995,0,0,1805
